City Name,Trip UUID,Local Amount,Currency Code,Classification,Category,Local Timestamp
Lodz,a27cf54d-d984-416b-bcf5-be22057d7218,3.56,PLN,transport.fare.time,driver_payment_fares,1/12/2026 17:49
Lodz,a27cf54d-d984-416b-bcf5-be22057d7218,8.14,PLN,transport.fare.base,driver_payment_fares,1/12/2026 17:49
Lodz,a27cf54d-d984-416b-bcf5-be22057d7218,2.21,PLN,transport.tax.vat,tax,1/12/2026 17:49
Lodz,a27cf54d-d984-416b-bcf5-be22057d7218,0.06,PLN,transport.fare.adjustment,driver_payment_fares,1/12/2026 17:49
Lodz,a27cf54d-d984-416b-bcf5-be22057d7218,0.4,PLN,intermediary.fare.marketplace_adjustment_incentive,existing_driver_incentive,1/12/2026 17:49
Lodz,a27cf54d-d984-416b-bcf5-be22057d7218,11.13,PLN,transport.fare.distance,driver_payment_fares,1/12/2026 17:49
Lodz,a27cf54d-d984-416b-bcf5-be22057d7218,-1.63,PLN,intermediary.commission.tax.vat,tax,1/12/2026 17:49
Lodz,a27cf54d-d984-416b-bcf5-be22057d7218,-7.48,PLN,intermediary.commission,commission,1/12/2026 17:49
Lodz,a27cf54d-d984-416b-bcf5-be22057d7218,4.69,PLN,transport.fare.charges.x_plus_surcharge,driver_payment_fares,1/12/2026 17:49
Lodz,2b5c8f9f-c43c-4035-9fcb-0b8e1fe0905a,-1.91,PLN,intermediary.fare.marketplace_adjustment_service_fee,commission_adjustment,1/12/2026 17:29
Lodz,2b5c8f9f-c43c-4035-9fcb-0b8e1fe0905a,-0.47,PLN,intermediary.fare.ufp_service_adj,commission,1/12/2026 17:29
Lodz,2b5c8f9f-c43c-4035-9fcb-0b8e1fe0905a,1.92,PLN,transport.tax.vat,tax,1/12/2026 17:29
Lodz,2b5c8f9f-c43c-4035-9fcb-0b8e1fe0905a,-2.02,PLN,intermediary.commission.tax.vat,tax,1/12/2026 17:29
Lodz,2b5c8f9f-c43c-4035-9fcb-0b8e1fe0905a,8.14,PLN,transport.fare.base,driver_payment_fares,1/12/2026 17:29
Lodz,2b5c8f9f-c43c-4035-9fcb-0b8e1fe0905a,5.81,PLN,transport.fare.time,driver_payment_fares,1/12/2026 17:29
Lodz,2b5c8f9f-c43c-4035-9fcb-0b8e1fe0905a,-0.22,PLN,transport.fare.adjustment,driver_payment_fares,1/12/2026 17:29
Lodz,2b5c8f9f-c43c-4035-9fcb-0b8e1fe0905a,-6.41,PLN,intermediary.commission,commission,1/12/2026 17:29
Lodz,2b5c8f9f-c43c-4035-9fcb-0b8e1fe0905a,0.44,PLN,transport.fare.ufp_adj,driver_payment_fares,1/12/2026 17:29
Lodz,2b5c8f9f-c43c-4035-9fcb-0b8e1fe0905a,9.86,PLN,transport.fare.distance,driver_payment_fares,1/12/2026 17:29
Lodz,56180dbd-fd33-4c64-bc04-842271f1a166,5.82,PLN,transport.fare.distance,driver_payment_fares,1/12/2026 17:04
Lodz,56180dbd-fd33-4c64-bc04-842271f1a166,8.14,PLN,transport.fare.base,driver_payment_fares,1/12/2026 17:04
Lodz,56180dbd-fd33-4c64-bc04-842271f1a166,-4.84,PLN,intermediary.commission,commission,1/12/2026 17:04
Lodz,56180dbd-fd33-4c64-bc04-842271f1a166,-0.23,PLN,transport.fare.ufp_adj,driver_payment_fares,1/12/2026 17:04
Lodz,56180dbd-fd33-4c64-bc04-842271f1a166,-1.73,PLN,intermediary.fare.marketplace_adjustment_service_fee,commission_adjustment,1/12/2026 17:04
Lodz,56180dbd-fd33-4c64-bc04-842271f1a166,4.21,PLN,transport.fare.time,driver_payment_fares,1/12/2026 17:04
